"participant.id","participant.code","participant.label","assigned_role","group.id","final.offer","final.stage","s1.p1_points","s1.p2_points","s2.p1_points","s2.p2_points","s3.p1_points","s3.p2_points","p1_discounted_points","p2_discounted_points","round_number","treatment","AI","Transfer","accept.stage1","accept.stage2","accept.stage3","accept.stage4"
1,"1mbbiopp","SUB01","P2",12,50,1,50,50,NA,NA,NA,NA,50,50,1,"T1",0,0,1,0,0,0
2,"dn2p4u55","SUB02","P1",7,50,1,50,50,NA,NA,NA,NA,50,50,1,"T1",0,0,1,0,0,0
3,"pxpnz9t4","SUB03","P1",12,50,1,50,50,NA,NA,NA,NA,50,50,1,"T1",0,0,1,0,0,0
4,"f0vz9i76","SUB04","P1",3,50,1,50,50,NA,NA,NA,NA,50,50,1,"T1",0,0,1,0,0,0
5,"bl2webs9","SUB05","P1",1,50,1,50,50,NA,NA,NA,NA,50,50,1,"T1",0,0,1,0,0,0
6,"ii6hl0lg","SUB08","P2",1,50,1,50,50,NA,NA,NA,NA,50,50,1,"T1",0,0,1,0,0,0
7,"v85u2gl4","SUB07","P2",7,50,1,50,50,NA,NA,NA,NA,50,50,1,"T1",0,0,1,0,0,0
8,"n611npof","SUB09","P1",5,45,1,55,45,NA,NA,NA,NA,55,45,1,"T1",0,0,1,0,0,0
9,"0vwq6zco","SUB10","P2",13,45,1,55,45,NA,NA,NA,NA,55,45,1,"T1",0,0,1,0,0,0
10,"502qb8y9","SUB11","P1",11,45,1,55,45,NA,NA,NA,NA,55,45,1,"T1",0,0,1,0,0,0
11,"hoosbwbd","SUB13","P1",9,50,1,50,50,NA,NA,NA,NA,50,50,1,"T1",0,0,1,0,0,0
12,"7y4r0mgk","SUB12","P1",13,45,1,55,45,NA,NA,NA,NA,55,45,1,"T1",0,0,1,0,0,0
13,"72kxcuck","SUB15","P1",10,40,1,60,40,NA,NA,NA,NA,60,40,1,"T1",0,0,1,0,0,0
14,"l9q500py","SUB14","P2",3,50,1,50,50,NA,NA,NA,NA,50,50,1,"T1",0,0,1,0,0,0
15,"2p0g017c","SUB16","P2",5,45,1,55,45,NA,NA,NA,NA,55,45,1,"T1",0,0,1,0,0,0
16,"0klbfy7w","SUB18","P1",6,40,1,60,40,NA,NA,NA,NA,60,40,1,"T1",0,0,1,0,0,0
17,"nrnoj6qg","SUB21","P2",2,45,1,55,45,NA,NA,NA,NA,55,45,1,"T1",0,0,1,0,0,0
18,"xxbh4lrv","SUB17","P1",2,45,1,55,45,NA,NA,NA,NA,55,45,1,"T1",0,0,1,0,0,0
