participant.id,participant.code,participant.label,assigned_role,group.id,final.offer,final.stage,s1.p1_points,s1.p2_points,s2.p1_points,s2.p2_points,s3.p1_points,s3.p2_points,p1_discounted_points,p2_discounted_points,round_number,
1,1mbbiopp,SUB01,P2,12,50,1,50,50,,,,,50,50,1,
2,dn2p4u55,SUB02,P1,7,50,1,50,50,,,,,50,50,1,
3,pxpnz9t4,SUB03,P1,12,50,1,50,50,,,,,50,50,1,
4,f0vz9i76,SUB04,P1,3,50,1,50,50,,,,,50,50,1,
5,bl2webs9,SUB05,P1,1,50,1,50,50,,,,,50,50,1,
6,ii6hl0lg,SUB08,P2,1,50,1,50,50,,,,,50,50,1,
7,v85u2gl4,SUB07,P2,7,50,1,50,50,,,,,50,50,1,
8,n611npof,SUB09,P1,5,45,1,55,45,,,,,55,45,1,
9,0vwq6zco,SUB10,P2,13,45,1,55,45,,,,,55,45,1,
10,502qb8y9,SUB11,P1,11,45,1,55,45,,,,,55,45,1,
11,hoosbwbd,SUB13,P1,9,50,1,50,50,,,,,50,50,1,
12,7y4r0mgk,SUB12,P1,13,45,1,55,45,,,,,55,45,1,
13,72kxcuck,SUB15,P1,10,40,1,60,40,,,,,60,40,1,
14,l9q500py,SUB14,P2,3,50,1,50,50,,,,,50,50,1,
15,2p0g017c,SUB16,P2,5,45,1,55,45,,,,,55,45,1,
16,0klbfy7w,SUB18,P1,6,40,1,60,40,,,,,60,40,1,
17,nrnoj6qg,SUB21,P2,2,45,1,55,45,,,,,55,45,1,
18,xxbh4lrv,SUB17,P1,2,45,1,55,45,,,,,55,45,1,
20,r33ctke4,SUB24,P2,4,50,1,50,50,,,,,50,50,1,
21,j24dnhl0,SUB22,P2,10,40,1,60,40,,,,,60,40,1,
23,p31wvp65,SUB19,P1,4,50,1,50,50,,,,,50,50,1,
24,eao94et7,SUB25,P2,6,40,1,60,40,,,,,60,40,1,
25,bumndept,SUB26,P2,11,45,1,55,45,,,,,55,45,1,
26,p510d7qp,SUB27,P2,9,50,1,50,50,,,,,50,50,1,
1,1mbbiopp,SUB01,P1,3,50,1,50,50,,,,,50,50,2,
2,dn2p4u55,SUB02,P2,11,40,1,60,40,,,,,60,40,2,
3,pxpnz9t4,SUB03,P1,4,55,1,45,55,,,,,45,55,2,
4,f0vz9i76,SUB04,P1,10,50,1,50,50,,,,,50,50,2,
6,ii6hl0lg,SUB08,P2,2,48,1,52,48,,,,,52,48,2,
7,v85u2gl4,SUB07,P1,5,41,1,59,41,,,,,59,41,2,
8,n611npof,SUB09,P2,9,50,1,50,50,,,,,50,50,2,
9,0vwq6zco,SUB10,P2,7,40,1,60,40,,,,,60,40,2,
10,502qb8y9,SUB11,P1,6,45,1,55,45,,,,,55,45,2,
11,hoosbwbd,SUB13,P1,9,50,1,50,50,,,,,50,50,2,
12,7y4r0mgk,SUB12,P2,6,45,1,55,45,,,,,55,45,2,
13,72kxcuck,SUB15,P2,3,50,1,50,50,,,,,50,50,2,
14,l9q500py,SUB14,P1,12,50,1,50,50,,,,,50,50,2,
15,2p0g017c,SUB16,P2,5,41,1,59,41,,,,,59,41,2,
16,0klbfy7w,SUB18,P1,11,40,1,60,40,,,,,60,40,2,
17,nrnoj6qg,SUB21,P2,12,50,1,50,50,,,,,50,50,2,
18,xxbh4lrv,SUB17,P2,8,70,1,30,70,,,,,30,70,2,
