participant.id_in_session,participant.code,participant.label,assigned_role,group.id,final.offer_points,final.stage,s1.p1_points,s1.p2_points,s2.p1_points,s2.p2_points,s3.p1_points,s3.p2_points,p1_discounted_points,p2_discounted_points,round_number,group.history
1,qgj4ans2,SUB01,P2,1,30,1,70,30,,,,,70,30,1,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 30, ""accepted"": true}]"
2,y6vt5nki,SUB02,P2,2,40,1,60,40,,,,,60,40,1,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 40, ""accepted"": true}]"
3,7kjwc9qf,SUB03,P2,3,50,1,50,50,,,,,50,50,1,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 50, ""accepted"": true}]"
4,prnf850t,SUB04,P1,4,40,1,60,40,,,,,60,40,1,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 40, ""accepted"": true}]"
5,b8qh05ti,SUB08,P2,5,50,1,50,50,,,,,50,50,1,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 50, ""accepted"": true}]"
6,fxxtcili,SUB05,P1,6,40,1,60,40,,,,,60,40,1,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 40, ""accepted"": true}]"
7,ha6kapux,SUB07,P2,7,40,1,60,40,,,,,60,40,1,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 40, ""accepted"": true}]"
9,o8bxqfyl,SUB11,P2,9,50,1,50,50,,,,,50,50,1,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 50, ""accepted"": true}]"
10,lljzay9s,SUB09,P1,10,60,1,40,60,,,,,40,60,1,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 60, ""accepted"": true}]"
13,sno2xyi9,SUB14,P1,13,40,1,60,40,,,,,60,40,1,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 40, ""accepted"": true}]"
15,1wizmznv,SUB17,P2,15,40,1,60,40,,,,,60,40,1,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 40, ""accepted"": true}]"
17,uzhuss2s,SUB18,P2,17,40,1,60,40,,,,,60,40,1,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 40, ""accepted"": true}]"
19,jfk37j88,SUB20,P2,19,40,1,60,40,,,,,60,40,1,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 40, ""accepted"": true}]"
20,3101cn8m,SUB22,P2,20,50,1,50,50,,,,,50,50,1,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 50, ""accepted"": true}]"
21,irl2zno9,SUB21,P2,21,40,1,60,40,,,,,60,40,1,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 40, ""accepted"": true}]"
24,x0yd06i5,SUB25,P2,24,50,1,50,50,,,,,50,50,1,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 50, ""accepted"": true}]"
25,tfqxsoxe,SUB26,P1,25,60,1,40,60,,,,,40,60,1,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 60, ""accepted"": true}]"
2,y6vt5nki,SUB02,P2,2,50,1,50,50,,,,,50,50,2,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 50, ""accepted"": true}]"
3,7kjwc9qf,SUB03,P1,3,50,1,50,50,,,,,50,50,2,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 50, ""accepted"": true}]"
4,prnf850t,SUB04,P1,4,35,1,65,35,,,,,65,35,2,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 35, ""accepted"": true}]"
5,b8qh05ti,SUB08,P2,5,35,1,65,35,,,,,65,35,2,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 35, ""accepted"": true}]"
7,ha6kapux,SUB07,P2,7,40,1,60,40,,,,,60,40,2,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 40, ""accepted"": true}]"
8,8s4s3qgl,SUB10,P1,8,50,1,50,50,,,,,50,50,2,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 50, ""accepted"": true}]"
9,o8bxqfyl,SUB11,P1,9,42,1,58,42,,,,,58,42,2,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 42, ""accepted"": true}]"
10,lljzay9s,SUB09,P2,10,50,1,50,50,,,,,50,50,2,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 50, ""accepted"": true}]"
12,gkbczgor,SUB12,P2,12,40,1,60,40,,,,,60,40,2,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 40, ""accepted"": true}]"
13,sno2xyi9,SUB14,P2,13,50,1,50,50,,,,,50,50,2,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 50, ""accepted"": true}]"
14,tmb79jpn,SUB15,P2,14,40,1,60,40,,,,,60,40,2,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 40, ""accepted"": true}]"
16,q2py44sj,SUB16,P2,16,50,1,50,50,,,,,50,50,2,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 50, ""accepted"": true}]"
18,z06q3y0q,SUB19,P2,18,50,1,50,50,,,,,50,50,2,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 50, ""accepted"": true}]"
