participant.id_in_session,participant.code,participant.label,assigned_role,group.id_in,final.offer_points,final.stage,s1.p1_points,s1.p2_points,s2.p1_points,s2.p2_points,s3.p1_points,s3.p2_points,p1_discounted_points,p2_discounted_points,round_number,group.history
20,q4jqgxsk,SUB24,P1,20,60,2,90,10,60,40,,,36,16,1,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 10, ""accepted"": false}, {""stage"": 2, ""proposer"": ""P2"", ""offer"": 60, ""accepted"": true}]"
20,q4jqgxsk,SUB24,P1,20,40,2,80,20,40,60,,,24,24,2,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 20, ""accepted"": false}, {""stage"": 2, ""proposer"": ""P2"", ""offer"": 40, ""accepted"": true}]"
23,7mv0ktln,SUB23,P1,23,30,3,80,20,27,73,70,30,25.2,4.8,5,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 20, ""accepted"": false}, {""stage"": 2, ""proposer"": ""P2"", ""offer"": 27, ""accepted"": false}, {""stage"": 3, ""proposer"": ""P1"", ""offer"": 30, ""accepted"": true}]"
3,imt9yc21,SUB03,P1,3,20,4,75,25,36,64,80,20,0,0,5,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 25, ""accepted"": false}, {""stage"": 2, ""proposer"": ""P2"", ""offer"": 36, ""accepted"": false}, {""stage"": 3, ""proposer"": ""P1"", ""offer"": 20, ""accepted"": false}]"
23,7mv0ktln,SUB23,P1,23,30,4,75,25,24,76,70,30,0,0,6,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 25, ""accepted"": false}, {""stage"": 2, ""proposer"": ""P2"", ""offer"": 24, ""accepted"": false}, {""stage"": 3, ""proposer"": ""P1"", ""offer"": 30, ""accepted"": false}]"
2,jqjfk2ez,SUB02,P1,2,30,1,70,30,,,,,70,30,1,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 30, ""accepted"": true}]"
23,7mv0ktln,SUB23,P1,23,30,1,70,30,,,,,70,30,4,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 30, ""accepted"": true}]"
13,ghobmd5w,SUB12,P1,13,40,3,70,30,24,76,60,40,21.6,6.4,1,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 30, ""accepted"": false}, {""stage"": 2, ""proposer"": ""P2"", ""offer"": 24, ""accepted"": false}, {""stage"": 3, ""proposer"": ""P1"", ""offer"": 40, ""accepted"": true}]"
2,jqjfk2ez,SUB02,P1,2,20,3,70,30,24,76,80,20,28.8,3.2,2,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 30, ""accepted"": false}, {""stage"": 2, ""proposer"": ""P2"", ""offer"": 24, ""accepted"": false}, {""stage"": 3, ""proposer"": ""P1"", ""offer"": 20, ""accepted"": true}]"
22,1pbdj537,SUB20,P1,22,40,3,70,30,24,76,60,40,21.6,6.4,2,"[{""stage"": 1, ""proposer"": ""P1"", ""offer"": 30, ""accepted"": false}, {""stage"": 2, ""proposer"": ""P2"", ""offer"": 24, ""accepted"": false}, {""stage"": 3, ""proposer"": ""P1"", ""offer"": 40, ""accepted"": true}]"
